"Business Name","Contact Name",Phone,Email,Address,City,State,ZIP,Status,"Visit Date",Notes
"Fleet Feet","wade & julie pannell",+12532728890,jeremiah@fleetfeettacoma.com,"3812 N 26th St, Tacoma, WA 98407",Tacoma,WA,98407,interested,"2026-03-16 22:42:30","Synced from GHL. Tags: comcast-prospect, pipeline-sync"
"Tacoma Glass Gallery","jeannine sigafoos","",tgsglass@gmail.com,"2621 N Proctor Street, Tacoma, WA 98407",Tacoma,WA,98407,interested,"2026-03-16 22:42:30","Synced from GHL. Tags: comcast-prospect, pipeline-sync"
"Tacoma Public Utilities","Jamar Sample",318-840-7676,,,Tacoma,WA,98403,partner,"2026-03-05 22:15:47","Engineer at TPU. Strategic referral partner - has visibility into new power connections = new businesses needing internet. Will refer business and bring Xavier on site visits. Non-paid partner. Email to be collected later."
"The Legacy Apartments",,253-383-8741,,"115 North Yakima Avenue",Tacoma,WA,98403,followup,"2026-03-05 20:19:52","Appointment scheduled for 11:30 AM, arrived at 12:00 PM (running late). Door locked, could not get in. Need to call and follow up to reschedule. Alternate phone from sign: 253-627-8888. Website: legacyrent.com - Multi-family housing with 1/2/3 bedroom units."
"KO Construction","Keith Osmonson",206-304-7816,keith@ko-construct.com,"10404 36th Street East",Edgewood,WA,98371,interested,"2026-03-05 18:27:56","Residential Comcast customer running business from home. Experiencing latency and dropped connections at peak times due to best effort residential service. High intent upsell opportunity - wants dedicated business internet. License: #KOCONC772D7"
"The Snug Pub","Andrea & Scott Evans",,thesnugpub@yahoo.com,"2717 North Proctor Street",Tacoma,WA,98407,interested,"2026-03-04 22:50:29","New restaurant in Proctor district (next door to Knapp's Restaurant). Met Scott today - specifically wants FIBER for media needs. Needs: 1+ phone line, multiple TVs, internet-capable devices. Husband Scott mentioned they want fiber due to amount of media they plan to put in. Business just started. | FOLLOW-UP: Task created in GHL for March 6th - Fiber quote follow-up."
"Franco the Tailor","Franco & Giovanni","(253) 627-2306","","15 Tacoma Avenue North",Tacoma,WA,98403,interested,"2026-02-25 23:43:31","Met both owners - Franco and Giovanni (relatives).
Small Italian tailor shop, family owned since 1961.
Recently closed by Cheyenne (previous rep) - they knew her by name.
Introduced myself as Xavier, new point of contact replacing Cheyenne.
Very nice people, good rapport established.
Follow-up in 2 weeks to introduce Comcast Business Mobile.
Position as benefit that small business owners have over consumers."
"The Powder Room Champagne Bar & Restaurant","Cam Settle",253-720-1493,thepowderroomtacoma@gmail.com,"12 N Tacoma Ave",Tacoma,WA,98403,followup,"2026-02-25 23:41:36","Visited Wed ~3:10 PM. Owner Cam Settle (female) out of town.
Gatekeeper: Kelly Ray.
Cam returns next week. Follow-up scheduled for next week or week after.
Business: Champagne bar and restaurant.
Website: thepowderroomchampagnebar.com"
"Morrell's Cleaners","Aaron Morrell","(253) 572-7121","","608 N. 1st St",Tacoma,WA,98403,followup,"2026-02-25 23:09:43","Visited ~3 PM. Owner Aaron Morrell not present.
Gatekeeper: Rigo (spelled R-I-G-O).
Best time to return: Morning (verified with knockout system).
Follow-up scheduled for morning when Aaron is present.
Second location: 3712 9th St SW, Puyallup, WA 98373, (253) 845-2503
Website: laundryday.com"
"Triple Knock","J (Manager), Katy (Gatekeeper)",253-503-0982,,"2713 6th Ave",Tacoma,WA,98406,interested,"2026-02-25 02:44:06","Gatekeeper: Katy. Manager: J (initial only, need full name). Hours: Daily 12PM-2AM, Sat 4PM-2AM. Need email address. Established business on 6th Ave."
"Valhalla Coffee Co","Anjie Hoskinson",253-381-6856,cafe@valhallacoffee.com,"3918 6th Ave",Tacoma,WA,98406,followup,"2026-02-25 01:02:01","Coffee shop visit. Anjie Hoskinson - part owner (card shows General Manager but she is now part owner). Personal cell: 253-381-6856. Follow up scheduled for 2 days (Feb 26). GHL sync pending - need new credentials."
"Boat Sales NW","Kern Dillard",253-993-0205,Kern@BoatSalesNW.com,"821 Dock Street",Tacoma,WA,98402,interested,"2026-02-24 23:09:49","Prospect stated no Comcast nearby, but property has 25 tenants with Comcast service. Opportunity to educate on existing serviceability. Yacht broker/USCG Master Captain."
"Test Business For GHL","Test Contact",253-555-0200,"","789 Test Ave",Tacoma,WA,98404,interested,"2026-02-19 23:33:05","Testing GHL sync"
"Test Plumbing","John Doe",253-555-0199,"","456 Main St",Tacoma,WA,98404,interested,"2026-02-19 21:19:38","Test from API"
