Category,Business Name,Contact Name,Address,ZIP Code,Phone,Email,Website,Source,Notes
Commercial Movers,AMC Moving (American Moving Company),,"Tacoma, WA",98406,,,https://www.americanmovingcompany.net,Web Search,"Commercial moving. Office moves, warehouse relocations, retail store moves. Serves Downtown Tacoma, North End, South Tacoma, Hilltop, Stadium, Proctor, Ruston, Lakewood."
Commercial Movers,A Plus Moving Group,,"Tacoma, WA",98406,,,https://a-plus-moving.com,Web Search,Corporate office relocation. Studio to corporate moves.
Commercial Movers,Home2Home Moving LLC,,"Tacoma, WA",98406,,,https://movingh2h.com,Web Search,"Commercial movers. Office relocations, minimizing downtime."
Commercial Property Managers,Kidder Mathews,,Downtown Tacoma,98402,,,https://kidder.com/office-locations/tacoma/,Web Search - Major commercial firm,"Largest independent commercial real estate firm in Western US. Full service: brokerage, appraisal, property management, construction management."
Commercial Property Managers,UNICO Properties LLC,,"1201 Pacific Ave Ste 150, Tacoma, WA",98402,(253) 272-7000,,,Tacoma Chamber Directory,Commercial property management
Commercial Property Managers,Wolf Bay Asset Management,,"Tacoma, WA",98406,,,https://www.wolfbayam.com/commercial-property-management-tacoma,Web Search,"Commercial property management Tacoma. Hands-on approach, knows downtown core and industrial port sectors."
Commercial Property Managers,BCI Properties,,"Tacoma, WA",98406,,,https://bci-properties.com,Web Search,"Tacoma property management. Single-family, multifamily, commercial properties."
Commercial Property Managers,Keyrenter Property Management Tacoma,,"Tacoma, WA",98406,(253) 449-3000,,https://www.keyrentertacoma.com,Web Search - Franchise,Commercial and residential property management services
Commercial Property Managers,Neil Walter Company,,"Tacoma, WA",98406,,,https://www.neilwalter.com,Web Search,Property management services
Commercial Property Managers,Clockwise Property Management,,"Tacoma, WA",98406,,,,Expertise.com listing,Residential and commercial property management
Commercial Property Managers,Haven Property Management,,"Tacoma, WA",98406,,,,Yelp Top Rated,Property management
Commercial Property Managers,The Joseph Group - Northeast Team,,"Tacoma, WA",98406,,,,Yelp Top Rated,Property management
Commercial Property Managers,Ziprent,Arvand Sabetian (CEO),"Tacoma, WA",98406,,,,Expertise.com,"Property management, 23,600+ repairs coordinated. Founded 2019."
Commercial Property Managers,Prologis,,"5900 Airport Way S Ste 300, Seattle, WA",98108,(206) 414-7600,,,Tacoma Chamber Directory,Industrial property management (may have Tacoma properties)
Construction Companies (Large Crews),Westmark Construction,,"Tacoma, WA",98406,,,https://westmarkconst.com,Web Search - Major contractor,Large commercial and public works construction. Western Washington and Pacific Northwest.
Construction Companies (Large Crews),Garco Construction,,Spokane/Seattle (serves Tacoma),98406,,,https://www.garco.com,Web Search - Large regional,"General contractor, design-build, GC-CM. Seattle, Tacoma, Puget Sound area."
Construction Companies (Large Crews),Colvos Construction,,"Tacoma, WA",98406,,,https://www.colvosconstruction.com,Web Search - Full service,"Full-service commercial general contractor. Tacoma, Seattle, Bellevue, Olympia, Puget Sound. Private and public commercial."
Construction Companies (Large Crews),Merit Construction,,"Tacoma, WA",98406,,,https://www.meritnw.com,Web Search - Award winning,Award-winning full service commercial general contractor. Since 1957. Tacoma-based.
Construction Companies (Large Crews),Korsmo Construction,,"Tacoma, WA",98406,,,https://korsmo.com,Web Search - 60+ years,"Commercial construction. Tacoma-based, 60+ years. Quality structures and relationships."
Construction Companies (Large Crews),Sea Con LLC,,"Tacoma, WA",98406,,,https://seaconllc.com,Web Search,"Commercial contractor. Pre-engineered metal buildings, business relocations, general commercial."
Construction Companies (Large Crews),ProBuild Construction,,"Tacoma, WA",98406,,,https://www.probuildwa.com,Web Search,Premier commercial general contractor. Commercial renovations to industrial builds.
Construction Companies (Large Crews),Stringham Custom Homes,,"Tacoma, WA",98406,,,https://www.stringhamhomes.com,Web Search,Commercial construction Tacoma. Commercial contractors.
Managed Service Providers (IT Support),Attentus Technologies,"Sales Team / Wolf, Sean","Tacoma, WA",98406,,,https://www.attentus.tech,Web Search - Top rated MSP,"18+ years experience. Strong testimonials from manufacturing, healthcare, legal. Wolf and Sean mentioned in reviews as top techs. 96.6% CSAT rating."
Managed Service Providers (IT Support),Spyderweb Communications,,"Tacoma, WA",98406,,,https://www.spyderweb.us,Web Search,"Managed IT services, user account management, security"
Managed Service Providers (IT Support),CMIT Solutions - Tacoma,,"Tacoma, WA",98406,,,https://cmitsolutions.com/tacoma-wa-1213/,Web Search - Franchise MSP,"Nationwide franchise, local ownership. Business IT support."
Managed Service Providers (IT Support),Netsurit,,"Tacoma, WA",98406,,,https://netsurit.com/en-us/managed-it-services-tacoma/,Web Search,Tacoma managed IT services
Managed Service Providers (IT Support),Truit,,"Tacoma, WA",98406,,,https://truit.io,Web Search - 20+ years experience,"Managed IT services, 20+ years experience"
Managed Service Providers (IT Support),Datatelco,,"Tacoma, WA",98406,,,https://datatelco.com,Web Search,"Managed IT provider, 24/7 support"
Managed Service Providers (IT Support),PC Technologies,,"Tacoma, WA",98406,,,https://pctechnologies.net,Web Search,IT support company
Managed Service Providers (IT Support),TCWGlobal,,"Tacoma, WA",98406,,,https://www.tcwglobal.com,Web Search - Workforce MSP,"Workforce MSP solutions, vendor coordination"
Managed Service Providers (IT Support),Rainier IT,,"Orting, WA (serves Puyallup, Buckley)",98360,,,https://rainier-it.com,Web Search,"Serves Orting, Puyallup, Sumner, Bonney Lake, Buckley & Pierce County"
Managed Service Providers (IT Support),Puyallup.Computer,,"Puyallup, WA",98371,,,https://puyallup.computer,Web Search,"Managed IT for Puyallup businesses, 24/7 monitoring"
Managed Service Providers (IT Support),Avaunt Technologies,,"Tacoma, WA (serves Puyallup)",98406,,,https://www.avaunt.com,Web Search,"Managed IT in Tacoma, Seattle, Olympia, Kent, Federal Way, Gig Harbor, Puyallup"
Managed Service Providers (IT Support),TeamLogic IT - Renton/Puyallup,,"Renton, WA (serves Puyallup)",98057,,,https://www.teamlogicitrenton.com,Web Search - Franchise,"National franchise, serves Puyallup area"
Managed Service Providers (IT Support),AMS Technology,,"Puyallup, WA",98371,,,,Local Directory,IT support and managed services in Puyallup
Managed Service Providers (IT Support),Tech Solutions,,"Puyallup, WA",98371,,,https://www.techsolutions.business,Web Search,"Managed IT services, 24/7 monitoring, vCIO strategy"
Managed Service Providers (IT Support),Business Computer Technicians,,"Puyallup, WA",98371,,,https://businesscomputertechnicians.com,Web Search,"Managed IT for Puyallup area, medical, dental, real estate, construction"
"POS Systems (Restaurant, Retail, Cannabis)",Toast POS,Territory Account Executive - Retail (hiring),"Tacoma, WA territory",98406,(617) 297-1005,,https://pos.toasttab.com,Web Search - Major POS provider,"Hiring Territory Account Executive for Tacoma retail. Expanding beyond restaurants into convenience stores, grocery, bottle shops."
"POS Systems (Restaurant, Retail, Cannabis)",National Business Systems (NBS),,Seattle/Tacoma Area,98406,253-839-9636,,https://www.nbsystems.com,Web Search - Local dealer,Heartland Restaurant POS dealer for Seattle/Tacoma. Local sales rep.
"POS Systems (Restaurant, Retail, Cannabis)",NBS Heartland POS,,Seattle/Tacoma,98406,253-839-9636,,https://nbsheartlandpos.com,Web Search,Local Heartland POS dealer for Seattle Tacoma area
"POS Systems (Restaurant, Retail, Cannabis)",Dutchie,Sales Team,National (cannabis POS),N/A,,,https://business.dutchie.com/pos,Web Search - Cannabis POS,Cannabis POS and e-commerce. Integrates with Flowhub. Serves all legal states including Washington.
"POS Systems (Restaurant, Retail, Cannabis)",Flowhub,Sales Team,National (cannabis POS),N/A,,,https://www.flowhub.com,Web Search - Cannabis POS,Cannabis dispensary POS. Integrates with Dutchie. Washington state supported.
"POS Systems (Restaurant, Retail, Cannabis)",Cova Software,,National (cannabis POS),N/A,,,https://www.covasoftware.com,Web Search - Cannabis POS,"Cannabis POS system, serves Washington state"
"POS Systems (Restaurant, Retail, Cannabis)",BLAZE,,National (cannabis POS),N/A,,,https://www.blaze.me,Web Search - Cannabis POS,Cannabis POS for dispensaries
"POS Systems (Restaurant, Retail, Cannabis)",IndicaOnline,,National (cannabis POS),N/A,,,https://www.indicaonline.com,Web Search - Cannabis POS,"Cannabis POS, HIPAA compliant, Washington state supported"
"POS Systems (Restaurant, Retail, Cannabis)",Treez,,National (cannabis POS),N/A,,,https://www.treez.io,Web Search - Cannabis POS,Enterprise cannabis retail software
Payment Processors (Merchant Services),Electronic Merchant Systems (EMS),,"Tacoma, WA",98406,,,https://www.emscorporate.com/merchant-services/tacoma-wa,Web Search - Major processor,"Local Tacoma presence. Countertop terminals, mobile devices, POS solutions."
Payment Processors (Merchant Services),Kurv Pay,,National (serves Tacoma),N/A,,,https://kurvpay.com,Web Search,"Payment solutions, 30,000+ businesses. Free terminal options."
Payment Processors (Merchant Services),Riverside Payments,,Regional (serves Tacoma),N/A,,,https://www.riversidepayments.com,Web Search,"Merchant service provider, POS systems, payment processing"
Payment Processors (Merchant Services),MAC Marketing,,Washington State,N/A,,,https://macmarketing.us/merchant-services-washington,Web Search,"Merchant services in Washington, credit card processing"
Payment Processors (Merchant Services),Wheatland Bank - Merchant Services,,Washington State,N/A,,,https://www.wheatland.bank/business/services/merchant-payment-processing,Web Search - Bank processor,"Business merchant services, credit card processing"
Payment Processors (Merchant Services),Elavon,,National (serves Tacoma),N/A,,,https://www.elavon.com,Web Search - Major processor,Major merchant services provider
Vehicle Wrappers / Fleet Graphics,USA Wrap Co,,"Gig Harbor/Tacoma, WA",98335,(253) 525-8148,,https://usawrapco.com,Web Search - Premier wrap shop,"Washington's premier commercial vehicle wraps & fleet upfitting. Full truck wraps, van graphics, shelving, ladder racks, partitions. 3M certified, 5-star rated."
Vehicle Wrappers / Fleet Graphics,WrapJax,,"Tacoma, Woodinville, Silverdale",98406,,,https://wrapjax.com,Web Search - Multiple locations,"Custom vehicle wraps, fleet branding, window graphics. Tacoma location. Serves commercial and government clients."
Vehicle Wrappers / Fleet Graphics,Tacoma Sign Company,,"Tacoma, WA",98406,,,https://www.tacomasigncompany.com/vehicle-wraps/,Web Search,"Vehicle wraps, truck wraps, van wraps, trailer wraps, boat wraps, fleet wraps."
Vehicle Wrappers / Fleet Graphics,Image360 - Tacoma Central,,"Tacoma, WA",98406,,,https://image360.com/tacoma-wa-central,Web Search,"Truck wrap graphics, vehicle lettering, partial and full wraps."
Vehicle Wrappers / Fleet Graphics,Signarama Tacoma,,"Tacoma, WA",98406,,,https://signarama.com/locations/wa-tacoma,Web Search - Franchise,"Vehicle wraps and graphics, national franchise"
Vehicle Wrappers / Fleet Graphics,Tint World - Tacoma,,"Tacoma, WA",98406,,,https://www.tintworld.com/locations/wa/tacoma-167,Web Search - Franchise,"Vehicle wraps, car graphics, fleet graphics. National franchise."
Vehicle Wrappers / Fleet Graphics,FASTSIGNS Tacoma,,"Tacoma, WA",98406,,,https://www.fastsigns.com/tacoma-wa,Web Search - Franchise,"Custom vehicle wraps, car graphics, mobile billboards."
